Task_id,1,1,2,2,1,2,1,2
Metric,Speedup,Efficiency,Speedup,Efficiency,Iso-efficiency,Iso-efficiency,Sequential Fraction,Sequential Fraction
"nodes = 2, thread = 2",1.725,0.431,1.716,0.429,4,4,0.440,0.444
"nodes = 2, thread = 4",1.757,0.220,1.765,0.221,8,8,0.508,0.505
"nodes = 2, thread = 8",1.894,0.118,1.996,0.125,16,16,0.497,0.468
"nodes = 4, thread = 2",2.402,0.300,2.463,0.308,8,8,0.333,0.321
"nodes = 4, thread = 4",2.490,0.156,2.369,0.148,16,16,0.362,0.384
"nodes = 4, thread = 8",2.687,0.084,2.472,0.077,32,32,0.352,0.385
"nodes = 8, thread = 2",3.438,0.215,3.145,0.197,16,16,0.244,0.272
"nodes = 8, thread = 4",3.846,0.120,3.480,0.109,32,32,0.236,0.264
"nodes = 8, thread = 8",3.821,0.060,3.329,0.052,64,64,0.250,0.289
